                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.66223,                0.53712,                 1.2307,                0.95728,                0.91502,                0.97639,                0.78181,                0.72742,                0.45392,                 1.2903,             0.00039125,             0.00039125,             0.00039125
                     68,                0.66883,                 0.5356,                 1.2342,                0.96115,                0.91199,                0.97544,                0.77429,                0.74135,                0.45426,                 1.2953,              0.0003665,              0.0003665,              0.0003665
                     69,                0.65089,                0.52913,                 1.2228,                0.97932,                0.91047,                0.97793,                0.79064,                0.70599,                0.42645,                 1.2712,             0.00034175,             0.00034175,             0.00034175
                     70,                0.64872,                0.51924,                 1.2213,                0.96073,                0.92413,                0.97825,                0.79816,                0.69237,                0.42098,                 1.2537,               0.000317,               0.000317,               0.000317
                     71,                0.54819,                0.40483,                 1.1572,                0.95549,                0.92413,                0.97962,                0.79596,                0.71516,                0.42259,                  1.276,             0.00029225,             0.00029225,             0.00029225
                     72,                0.53731,                0.40485,                 1.1432,                0.96256,                0.93171,                 0.9789,                0.79225,                0.70252,                0.42762,                 1.2686,              0.0002675,              0.0002675,              0.0002675
                     73,                0.52722,                0.37395,                 1.1359,                0.97124,                0.91806,                0.97868,                 0.7864,                0.71559,                0.43236,                 1.2853,             0.00024275,             0.00024275,             0.00024275
                     74,                0.51907,                0.37215,                 1.1243,                0.95395,                0.94537,                0.98057,                0.80327,                0.69331,                0.41307,                 1.2661,               0.000218,               0.000218,               0.000218
                     75,                0.51005,                0.36374,                 1.1298,                0.96535,                0.93007,                0.98006,                0.80687,                0.68758,                0.40949,                 1.2558,             0.00019325,             0.00019325,             0.00019325
                     76,                0.50664,                0.35774,                  1.122,                 0.9732,                0.93667,                 0.9806,                0.80445,                0.68121,                0.40961,                 1.2554,              0.0001685,              0.0001685,              0.0001685
                     77,                0.49938,                0.35497,                 1.1129,                 0.9482,                0.95751,                0.97974,                0.80161,                0.69576,                0.42671,                 1.2745,             0.00014375,             0.00014375,             0.00014375
                     78,                0.49357,                0.34926,                 1.1089,                0.96583,                0.94372,                0.98126,                0.80454,                0.67838,                 0.4118,                  1.257,               0.000119,               0.000119,               0.000119
                     79,                0.49723,                0.34865,                 1.1108,                 0.9615,                0.94753,                0.98172,                 0.8065,                0.67774,                0.41987,                 1.2575,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.49143,                0.34528,                 1.1069,                0.97179,                0.93475,                0.98289,                  0.809,                 0.6825,                0.40777,                  1.264,               6.95e-05,               6.95e-05,               6.95e-05
